,Unnamed: 0,Date,Total Tested,Total Cases,Total Deaths,Total Recovered,Newly Tested,New Cases,New Deaths,Newly Recovered,Notes,Day of Pandemic/Outbreak,Positivity rate,Death case ratio,Cases Normalised,Tests Normalised,Daily Tests SMA3,Daily Cases SMA3,Daily Deaths SMA3,Daily Tests SMA7,Daily Cases SMA7,Daily Deaths SMA7,Daily Recoveries SMA7
10,10,2020-03-20,433.0,20.0,1.0,3.0,36.0,3.0,0.0,0.0,0,10/8,0.08333333333333333,0.05,1.0009609224855861e-05,2.444484733174306e-05,30.666666666666668,3.3333333333333335,0.3333333333333333,13.142857142857142,1.4285714285714286,0.14285714285714285,0.14285714285714285
11,11,2020-03-21,433.0,24.0,2.0,3.0,36.0,4.0,1.0,2.0,First death from community transmission[103] *Government press releases from both 2020-3-20 and 2020-3-21 state that 'total number of individuals tested for COVID-19 till date' is 433 and 'number tested in last 24 hours' is 36. These are likely errors.,11/9,0.1111111111111111,0.08333333333333333,1.3346145633141149e-05,2.444484733174306e-05,39.333333333333336,3.3333333333333335,0.3333333333333333,18.285714285714285,2.0,0.2857142857142857,0.42857142857142855
12,12,2020-03-22,564.0,27.0,2.0,5.0,27.0,3.0,0.0,0.0,New cases include a doctor who treated the patient who died on 20 March.[104],12/10,0.1111111111111111,0.07407407407407407,1.0009609224855861e-05,1.8333635498807293e-05,33.0,3.3333333333333335,0.3333333333333333,22.142857142857142,2.4285714285714284,0.2857142857142857,0.42857142857142855
13,13,2020-03-23,620.0,33.0,3.0,5.0,56.0,6.0,1.0,0.0,"New cases characteristics: 3 males, 3 females; 23 healthcare workers, and two returnees from India and Bahrain. New death caused by community transmission.",13/11,0.10714285714285714,0.09090909090909091,2.0019218449711722e-05,3.802531807160032e-05,39.666666666666664,4.333333333333333,0.6666666666666666,30.142857142857142,3.2857142857142856,0.42857142857142855,0.42857142857142855
14,14,2020-03-24,712.0,39.0,4.0,5.0,92.0,6.0,1.0,0.0,New positives include returnee from Saudi Arabia and 4 locals with epidemiological link. The death of the female was related to community transmission,14/12,0.06521739130434782,0.10256410256410256,2.0019218449711722e-05,6.247016540334338e-05,58.333333333333336,5.0,0.6666666666666666,43.285714285714285,4.142857142857143,0.5714285714285714,0.42857142857142855
15,15,2020-03-25,794.0,39.0,5.0,5.0,82.0,0.0,1.0,6.0,0,15/13,0.0,0.1282051282051282,0.0,5.567993003341475e-05,76.66666666666667,4.0,1.0,53.57142857142857,3.5714285714285716,0.5714285714285714,1.1428571428571428
16,16,2020-03-26,920.0,44.0,5.0,11.0,126.0,5.0,0.0,0.0,0,16/14,0.03968253968253968,0.11363636363636363,1.6682682041426436e-05,8.555696566110072e-05,100.0,3.6666666666666665,0.6666666666666666,65.0,3.857142857142857,0.5714285714285714,1.1428571428571428
17,17,2020-03-27,1026.0,48.0,5.0,11.0,106.0,4.0,0.0,0.0,0,17/15,0.03773584905660377,0.10416666666666667,1.3346145633141149e-05,7.197649492124345e-05,104.66666666666667,3.0,0.3333333333333333,75.0,4.0,0.5714285714285714,1.1428571428571428
18,18,2020-03-28,1076.0,48.0,5.0,15.0,47.0,0.0,0.0,4.0,0,18/16,0.0,0.10416666666666667,0.0,3.191410623866455e-05,93.0,3.0,0.0,76.57142857142857,3.4285714285714284,0.42857142857142855,1.4285714285714286
19,19,2020-03-29,1185.0,48.0,5.0,15.0,109.0,0.0,0.0,4.0,0,19/17,0.0,0.10416666666666667,0.0,7.401356553222204e-05,87.33333333333333,1.3333333333333333,0.0,88.28571428571429,3.0,0.42857142857142855,2.0
20,20,2020-03-30,1338.0,49.0,5.0,19.0,153.0,1.0,0.0,4.0,0,20/18,0.006535947712418301,0.10204081632653061,3.336536408285287e-06,0.00010389060115990801,103.0,0.3333333333333333,0.0,102.14285714285714,2.2857142857142856,0.2857142857142857,2.5714285714285716
21,21,2020-03-31,1602.0,51.0,5.0,25.0,140.0,2.0,0.0,6.0,0,21/19,0.014285714285714285,0.09803921568627451,6.673072816570574e-06,9.506329517900078e-05,134.0,1.0,0.0,109.0,1.7142857142857142,0.14285714285714285,3.4285714285714284
22,22,2020-04-01,1759.0,54.0,6.0,26.0,157.0,1.0,1.0,1.0,0,22/20,0.006369426751592357,0.1111111111111111,3.336536408285287e-06,0.00010660669530787946,150.0,1.3333333333333333,0.3333333333333333,119.71428571428571,1.8571428571428572,0.14285714285714285,2.7142857142857144
