,Unnamed: 0,Date,Total tested,Total cases,Total deaths,Total recovered,Newly tested,New cases,New deaths,Newly recovered,Days since first confirmed cases,Positivity rate,Positivity rate SMA7,Death case ratio,Cases Normalised,Tests Normalised,Daily Tests SMA3,Daily Cases SMA3,Daily Deaths SMA3,Daily Tests SMA7,Daily Cases SMA7,Daily Deaths SMA7,Daily Recoveries SMA7
24,24,2020-04-03,2113.0,61.0,6.0,26.0,203.0,5.0,0.0,0.0,26,0.024630541871921183,0.009429432540680956,0.09836065573770492,3.4386878517347836e-06,2.3616629737082924e-05,167.0,2.6666666666666665,0.3333333333333333,135.71428571428572,1.5714285714285714,0.14285714285714285,2.7142857142857144
25,25,2020-04-04,2547.0,70.0,8.0,30.0,434.0,9.0,2.0,4.0,27,0.020737327188940093,0.012391907853386683,0.11428571428571428,6.189638133122611e-06,5.049072564479798e-05,259.3333333333333,5.333333333333333,0.6666666666666666,191.0,2.857142857142857,0.42857142857142855,2.7142857142857144
26,26,2020-04-05,2914.0,88.0,9.0,33.0,367.0,18.0,1.0,3.0,28,0.04904632152588556,0.019398525214227476,0.10227272727272728,1.2379276266245221e-05,4.2696074450785386e-05,334.6666666666667,10.666666666666666,1.0,227.85714285714286,5.428571428571429,0.5714285714285714,2.5714285714285716
27,27,2020-04-06,3610.0,164.0,17.0,33.0,468.0,41.0,5.0,0.0,29,0.0876068376068376,0.030980080913430234,0.10365853658536585,2.8197240384225225e-05,5.4446220280565564e-05,423.0,22.666666666666668,2.6666666666666665,272.85714285714283,11.142857142857142,1.2857142857142858,2.0
28,28,2020-04-07,4289.0,164.0,17.0,33.0,792.0,41.0,5.0,0.0,30,0.05176767676767677,0.03633464698228201,0.10365853658536585,2.8197240384225225e-05,9.213975739788018e-05,542.3333333333334,33.333333333333336,3.6666666666666665,366.0,16.714285714285715,2.0,1.1428571428571428
29,29,2020-04-08,5194.0,218.0,20.0,33.0,981.0,54.0,3.0,0.0,31,0.05504587155963303,0.04328842481200211,0.09174311926605505,3.713782879873566e-05,0.00011412765404964704,747.0,45.333333333333336,4.333333333333333,483.7142857142857,24.285714285714285,2.2857142857142856,1.0
30,30,2020-04-09,6175.0,330.0,21.0,33.0,905.0,112.0,1.0,0.0,32,0.12375690607734807,0.058941640371177474,0.06363636363636363,7.702660787885915e-05,0.00010528596015793126,892.6666666666666,69.0,3.0,592.8571428571429,40.0,2.4285714285714284,1.0
31,31,2020-04-10,7359.0,424.0,27.0,33.0,1184.0,94.0,6.0,0.0,33,0.07939189189189189,0.06676469037403043,0.06367924528301887,6.464733161261393e-05,0.00013774428378672996,1023.3333333333334,86.66666666666667,3.3333333333333335,733.0,52.714285714285715,3.2857142857142856,1.0
32,32,2020-04-11,8313.0,482.0,30.0,36.0,954.0,58.0,3.0,3.0,34,0.06079664570230608,0.07248745016165414,0.06224066390041494,3.988877908012349e-05,0.00011098652595653749,1014.3333333333334,88.0,3.3333333333333335,807.2857142857143,59.714285714285715,3.4285714285714284,0.8571428571428571
33,33,2020-04-12,9653.0,621.0,34.0,39.0,1340.0,139.0,4.0,3.0,35,0.10373134328358209,0.08029959612703937,0.05475040257648953,9.559552227822698e-05,0.00015589302388025183,1159.3333333333333,97.0,4.333333333333333,946.2857142857143,77.0,3.857142857142857,0.8571428571428571
34,34,2020-04-13,11223.0,803.0,39.0,42.0,1570.0,182.0,5.0,3.0,36,0.1159235668789809,0.08434484316591696,0.048567870485678705,0.00012516823780314612,0.0001826507817104443,1288.0,126.33333333333333,4.0,1103.7142857142858,97.14285714285714,3.857142857142857,1.2857142857142858
35,35,2020-04-14,13128.0,1012.0,46.0,42.0,1905.0,209.0,7.0,0.0,37,0.10971128608923884,0.09262250164042583,0.045454545454545456,0.00014373715220251395,0.00022162403768050725,1605.0,176.66666666666666,5.333333333333333,1262.7142857142858,121.14285714285714,4.142857142857143,1.2857142857142858
36,36,2020-04-15,14868.0,1231.0,50.0,49.0,1740.0,219.0,4.0,7.0,38,0.12586206896551724,0.10273910126983786,0.04061738424045491,0.00015061452790598353,0.00020242825488928223,1738.3333333333333,203.33333333333334,5.333333333333333,1371.142857142857,144.71428571428572,4.285714285714286,2.2857142857142856
37,37,2020-04-16,17003.0,1572.0,60.0,49.0,2135.0,341.0,10.0,0.0,39,0.15971896955503512,0.10787653890950745,0.03816793893129771,0.00023451851148831226,0.00024838179551069973,1926.6666666666667,256.3333333333333,7.0,1546.857142857143,177.42857142857142,5.571428571428571,2.2857142857142856
38,38,2020-04-17,19193.0,1838.0,75.0,58.0,2190.0,266.0,15.0,9.0,40,0.12146118721461187,0.11388643824132459,0.040805223068552776,0.0001829381937122905,0.0002547803897744414,2021.6666666666667,275.3333333333333,9.666666666666666,1690.5714285714287,202.0,6.857142857142857,3.5714285714285716
39,39,2020-04-18,21307.0,2144.0,84.0,66.0,2114.0,306.0,9.0,8.0,41,0.14474929044465468,0.12587967320451723,0.03917910447761194,0.00021044769652616875,0.00024593869588272565,2146.3333333333335,304.3333333333333,11.333333333333334,1856.2857142857142,237.42857142857142,7.714285714285714,4.285714285714286
40,40,2020-04-19,23941.0,2456.0,91.0,75.0,2634.0,312.0,7.0,9.0,42,0.11845102505694761,0.1279824848864266,0.03705211726384365,0.0002145741219482505,0.00030643449619446514,2312.6666666666665,294.6666666666667,10.333333333333334,2041.142857142857,262.14285714285717,8.142857142857142,5.142857142857143
41,41,2020-04-20,26604.0,2948.0,101.0,85.0,2779.0,492.0,10.0,10.0,43,0.17704210147535085,0.13671370411447947,0.03426051560379918,0.0003383668846107027,0.0003233035174352387,2509.0,370.0,8.666666666666666,2213.8571428571427,306.42857142857144,8.857142857142858,6.142857142857143
42,42,2020-04-21,29578.0,3382.0,110.0,87.0,2974.0,434.0,9.0,2.0,44,0.14593140551445863,0.14188800688951086,0.03252513305736251,0.0002984781055305792,0.000345989442552141,2795.6666666666665,412.6666666666667,8.666666666666666,2366.5714285714284,338.57142857142856,9.142857142857142,6.428571428571429
43,43,2020-04-22,32630.0,3772.0,120.0,92.0,3043.0,390.0,10.0,5.0,45,0.12816299704239237,0.142216710900493,0.031813361611876985,0.00026821765243531314,0.00035401676990119875,2932.0,438.6666666666667,9.666666666666666,2552.714285714286,363.0,10.0,6.142857142857143
44,44,2020-04-23,36090.0,4186.0,127.0,108.0,3460.0,414.0,7.0,16.0,46,0.11965317919075144,0.1364930265627382,0.030339225991399904,0.0002847233541236401,0.0004025297482281129,3159.0,412.6666666666667,8.666666666666666,2742.0,373.42857142857144,9.571428571428571,8.428571428571429
45,45,2020-04-24,39476.0,4689.0,131.0,112.0,3386.0,503.0,4.0,4.0,47,0.14855286473715298,0.1403632662088155,0.027937726594156536,0.0003459319978845192,0.00039392073049144226,3296.3333333333335,435.6666666666667,7.0,2912.8571428571427,407.2857142857143,8.0,7.714285714285714
46,46,2020-04-25,43113.0,4998.0,140.0,113.0,3637.0,309.0,9.0,1.0,48,0.08496013197690404,0.1318219578562797,0.028011204481792718,0.00021251090923720962,0.00042312158794960886,3494.3333333333335,408.6666666666667,6.666666666666667,3130.4285714285716,407.7142857142857,8.0,6.714285714285714
47,47,2020-04-26,46589.0,5416.0,145.0,122.0,3476.0,418.0,5.0,9.0,49,0.12025316455696203,0.13207940635628176,0.026772525849335302,0.0002874743044050279,0.0004043911574684741,3499.6666666666665,410.0,6.0,3250.714285714286,422.85714285714283,7.714285714285714,6.714285714285714
48,48,2020-04-27,50401.0,5913.0,152.0,131.0,3812.0,497.0,7.0,9.0,50,0.13037775445960126,0.12541307106831753,0.025706071368171823,0.0003418055724624375,0.00044348075151605967,3641.6666666666665,408.0,7.0,3398.285714285714,423.57142857142856,7.285714285714286,6.571428571428571
49,49,2020-04-28,54733.0,6462.0,155.0,139.0,4332.0,549.0,3.0,8.0,51,0.12673130193905818,0.1226701991289746,0.023986381925100587,0.00037756792612047923,0.0005039765518277992,3873.3333333333335,488.0,5.0,3592.285714285714,440.0,6.428571428571429,7.428571428571429
50,50,2020-04-29,59701.0,7103.0,163.0,150.0,4968.0,641.0,8.0,11.0,52,0.1290257648953301,0.12279345167939429,0.022948050119667746,0.00044083978259239925,0.0005779675691321575,4370.666666666667,562.3333333333334,6.0,3867.285714285714,475.85714285714283,6.142857142857143,8.285714285714286
51,51,2020-04-30,64666.0,7667.0,168.0,160.0,4965.0,564.0,5.0,10.0,53,0.113595166163142,0.12192802124687865,0.021912090778661797,0.0003878839896756836,0.0005776185548995897,4755.0,584.6666666666666,5.333333333333333,4082.285714285714,497.2857142857143,5.857142857142857,7.428571428571429
52,52,2020-05-01,70239.0,8238.0,170.0,174.0,5573.0,571.0,2.0,14.0,54,0.10245828099766732,0.11534308071266641,0.020636076717649915,0.0003926981526681123,0.000648352106033316,5168.666666666667,592.0,5.0,4394.714285714285,507.0,5.571428571428571,8.857142857142858
53,53,2020-05-02,76066.0,8790.0,175.0,177.0,5827.0,552.0,5.0,3.0,55,0.09473142268748927,0.11673897938560716,0.019908987485779295,0.00037963113883152013,0.0006779019777240502,5455.0,562.3333333333334,4.0,4707.571428571428,541.7142857142857,5.0,9.142857142857142
54,54,2020-05-03,81434.0,9455.0,177.0,1063.0,5368.0,665.0,2.0,886.0,56,0.12388226527570789,0.117257422345428,0.01872025383395029,0.0004573454842807262,0.0006245028001411879,5589.333333333333,596.0,3.0,4977.857142857143,577.0,4.571428571428571,134.42857142857142
55,55,2020-05-04,87694.0,10143.0,182.0,1209.0,6260.0,688.0,5.0,146.0,57,0.10990415335463259,0.11433262218757534,0.017943409247757072,0.0004731634483987062,0.0007282763652913256,5818.333333333333,635.0,4.0,5327.571428571428,604.2857142857143,4.285714285714286,154.0
56,56,2020-05-05,93405.0,10929.0,183.0,1403.0,5711.0,786.0,1.0,194.0,58,0.13762913675363334,0.11588945573251465,0.01674444139445512,0.000540561730292708,0.0006644067607314315,5779.666666666667,713.0,2.6666666666666665,5524.571428571428,638.1428571428571,4.0,180.57142857142858
57,57,2020-05-06,99646.0,11719.0,186.0,1403.0,6241.0,790.0,3.0,0.0,59,0.12658227848101267,0.11554038624475502,0.015871661404556703,0.0005433126805740958,0.0007260659418183967,6070.666666666667,754.6666666666666,3.0,5706.428571428572,659.4285714285714,3.2857142857142856,179.0
58,58,2020-05-07,105513.0,12425.0,199.0,1910.0,5867.0,706.0,13.0,507.0,60,0.12033407192773138,0.11650308706826777,0.016016096579476863,0.00048554272466495147,0.0006825555008249533,5939.666666666667,760.6666666666666,5.666666666666667,5835.285714285715,679.7142857142857,4.428571428571429,250.0
59,59,2020-05-08,111454.0,13134.0,206.0,2101.0,5941.0,709.0,7.0,191.0,61,0.11934017842114122,0.11891478670019262,0.01568448302116644,0.0004876059373759923,0.000691164518561624,6016.333333333333,735.0,7.666666666666667,5887.857142857143,699.4285714285714,5.142857142857143,275.2857142857143
60,60,2020-05-09,116919.0,13770.0,214.0,2414.0,5518.0,636.0,8.0,313.0,62,0.11525915186661834,0.12184731944006821,0.015541031227305737,0.0004374010947406645,0.0006419535117695743,5775.333333333333,683.6666666666666,9.333333333333334,5843.714285714285,711.4285714285714,5.571428571428571,319.57142857142856
61,61,2020-05-10,122657.0,14657.0,228.0,2650.0,5738.0,887.0,14.0,236.0,63,0.15458347856395957,0.12623320705267557,0.015555707170635192,0.0006100232248977506,0.000667547888824541,5732.333333333333,744.0,9.666666666666666,5896.571428571428,743.1428571428571,7.285714285714286,226.71428571428572
62,62,2020-05-11,129865.0,15691.0,239.0,2902.0,7208.0,1034.0,11.0,252.0,64,0.1434517203107658,0.13102571661783746,0.015231661461984578,0.0007111206477387532,0.0008385648627827277,6154.666666666667,852.3333333333334,11.0,6032.0,792.5714285714286,8.142857142857142,241.85714285714286
63,63,2020-05-12,136638.0,16660.0,250.0,3147.0,6773.0,969.0,11.0,245.0,65,0.1430680643732467,0.13180270627778223,0.015006002400960384,0.000666417705666201,0.0007879577990604072,6573.0,963.3333333333334,12.0,6183.714285714285,818.7142857142857,9.571428571428571,249.14285714285714
64,64,2020-05-13,144538.0,17822.0,269.0,3361.0,7900.0,1162.0,19.0,214.0,66,0.14708860759493672,0.1347321818654857,0.01509370441027943,0.0007991510567431637,0.0009190708124283503,7293.666666666667,1055.0,13.666666666666666,6420.714285714285,871.8571428571429,11.857142857142858,279.7142857142857
65,65,2020-05-14,151930.0,18863.0,283.0,3603.0,7392.0,1041.0,14.0,242.0,67,0.14082792207792208,0.13765987474408434,0.015002915761013624,0.0007159348107311819,0.0008599710690468817,7355.0,1057.3333333333333,14.666666666666666,6638.571428571428,919.7142857142857,12.0,241.85714285714286
66,66,2020-05-15,160512.0,20065.0,298.0,3882.0,8582.0,1202.0,15.0,279.0,68,0.14006059193661152,0.14061993381772298,0.014851731871417893,0.000826660559557042,0.0009984133812987472,7958.0,1135.0,16.0,7015.857142857143,990.1428571428571,13.142857142857142,254.42857142857142
67,67,2020-05-16,167114.0,20995.0,314.0,4117.0,6602.0,930.0,16.0,235.0,69,0.14086640411996365,0.144278112711058,0.014955941890926411,0.0006395959404226697,0.0007680639878040467,7525.333333333333,1057.6666666666667,15.0,7170.714285714285,1032.142857142857,14.285714285714286,243.28571428571428
68,68,2020-05-17,175228.0,22268.0,328.0,4373.0,8114.0,1273.0,14.0,256.0,70,0.156889327088982,0.1446075196432041,0.014729656906772049,0.0008754899270516759,0.0009439671610181815,7766.0,1135.0,15.0,7510.142857142857,1087.2857142857142,14.285714285714286,246.14285714285714
