,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
0,1.0,,District/City,Total Cases in District,Total,Updated Date,,01 September 2020,02 September 2020,03 September 2020,04 September 2020,05 September 2020,06 September 2020,07 September 2020,08 September 2020,09 September 2020,10 September 2020,11 September 2020,12 September 2020,13 September 2020,14 September 2020,15 September 2020,16 September 2020,17 September 2020,18 September 2020,19 September 2020,20 September 2020,21 September 2020,22 September 2020,23 September 2020,24 September 2020,25 September 2020,26 September 2020,27 September 2020,28 September 2020,30 September 2020
31,31.0,Rangpur,Rangpur,2777,11774,26.09.2020,,54,29,19,21,13,17,13,13,14,7,14,13,13,12,15,10,10,13,11,7,18,10,12,7,9,,,,
32,32.0,Rangpur,Gaibandha,1155,11774,26.09.2020,,58,12,7,10,8,9,11,5,5,7,4,5,4,7,5,4,9,2,5,3,9,7,3,4,5,,,,
33,33.0,Rangpur,Nilphamari,1041,11774,26.09.202,,12,31,12,0,0,0,0,0,16,0,6,0,0,13,0,0,0,0,15,7,8,2,5,7,4,,,,
34,34.0,Rangpur,Lalmonirhat,850,11774,26.09.2020,,10,13,8,9,14,8,4,5,8,4,5,4,6,3,3,8,3,6,9,6,2,1,6,2,0,,,,
35,35.0,Rangpur,Kurigram,890,11774,26.09.2020,,18,1,0,5,8,4,2,3,8,1,2,8,2,1,6,3,3,5,8,4,0,3,1,1,1,,,,
36,36.0,Rangpur,Dinajpur,3343,11774,26.09.2020,,20,58,32,0,0,0,12,9,21,0,18,0,0,13,0,0,7,34,11,7,20,9,7,4,4,,,,
37,37.0,Rangpur,Panchagarh,604,11774,26.09.2020,,6,0,7,0,0,0,0,0,3,0,2,0,0,15,0,0,13,0,13,8,5,0,6,2,0,,,,
38,38.0,Rangpur,Thakurgaon,1114,11774,26.09.2020,,13,55,14,0,0,0,0,0,17,0,9,0,0,14,0,0,0,4,20,8,24,8,6,5,7,,,,
39,39.0,Khulna,Khulna,6312,21620,26.9.2020,,45,52,45,30,50,34,31,32,10,29,29,19,31,21,21,27,29,15,30,20,12,7,8,8,13,16,,,
40,40.0,Khulna,Jashore,3855,21620,26.9.2020,,33,39,37,40,37,22,37,32,21,36,21,21,6,22,8,4,28,13,20,3,24,23,15,22,9,15,,,
41,41.0,Khulna,Bagerhat,984,21620,26.9.2020,,8,0,0,5,7,4,2,4,1,5,10,7,0,10,3,4,0,4,0,4,0,2,0,0,0,5,,,
42,42.0,Khulna,Narail,1319,21620,26.9.2020,,13,0,8,4,3,18,0,8,13,5,4,1,1,0,5,13,4,7,0,6,2,7,3,2,5,3,,,
43,43.0,Khulna,Magura,902,21620,26.9.2020,,0,0,5,7,5,6,7,3,7,6,5,3,2,5,1,0,1,5,1,2,0,3,5,0,6,1,,,
44,44.0,Khulna,Meherpur,601,21620,26.9.2020,,4,1,7,1,0,12,2,2,3,6,5,4,0,5,3,2,1,2,2,0,0,3,2,1,1,1,,,
45,45.0,Khulna,Satkhira,1093,21620,26.9.2020,,10,12,0,15,2,3,5,4,1,0,0,13,0,0,0,0,0,1,1,0,0,1,1,0,0,0,,,
46,46.0,Khulna,Jhenaidah,1902,21620,26.9.2020,,28,10,26,9,0,24,21,13,11,11,17,5,0,9,15,8,7,13,6,0,12,10,11,4,7,1,,,
47,47.0,Khulna,Kushtia,3238,21620,26.9.2020,,10,42,31,20,28,5,33,25,28,18,24,16,13,20,21,17,23,12,15,7,21,20,13,9,8,11,,,
48,48.0,Khulna,Chuadanga,1414,21620,26.9.2020,,3,16,5,6,8,0,6,7,7,11,14,9,0,13,9,3,6,8,3,0,7,5,7,3,2,2,,,
49,49.0,Mymensingh,Mymensingh,3650,6362,02.09.2020,,21,18,10,20,17,7,23,12,11,30,20,12,5,11,11,4,8,9,4,5,7,7,10,7,6,7,,,
50,50.0,Mymensingh,Jamalpur,1529,6362,28.08.2020,,7,13,7,7,1,3,7,6,6,5,13,5,5,10,8,8,6,7,6,15,3,14,10,2,7,6,,,
51,51.0,Mymensingh,Netrokona,718,6362,28.08.2020,,1,1,3,1,2,5,0,0,1,2,2,3,1,0,0,0,1,0,1,0,0,2,3,1,0,3,,,
52,52.0,Mymensingh,Sherpur,465,6362,28.08.2020,,3,0,3,2,1,4,2,0,4,2,1,2,1,0,2,4,1,1,0,0,0,0,0,1,1,1,,,
53,53.0,Barishal,Barguna,909,8267,27.08.2020,,0,7,0,4,1,2,7,1,0,4,0,2,4,0,4,0,0,1,4,2,3,2,0,2,2,1,,,
54,54.0,Barishal,Bhola,722,8267,27.08.2020,,10,3,1,8,1,4,2,0,6,2,1,3,2,0,1,7,0,1,1,2,4,3,1,0,2,2,,,
55,55.0,Barishal,Barishal,3459,8267,27.08.2020,,10,29,18,10,27,11,30,9,12,10,13,13,7,11,15,7,4,13,3,5,11,14,10,9,7,14,,,
56,56.0,Barishal,Patuakhali,1414,8267,27.08.2020,,3,5,8,0,10,4,3,0,1,3,1,7,1,0,6,1,6,7,2,1,7,6,7,8,1,2,,,
57,57.0,Barishal,Pirojpur,1069,8267,27.08.2020,,12,9,0,15,1,3,1,4,0,0,3,2,0,0,1,12,10,4,3,1,0,4,1,3,2,4,,,
58,58.0,Barishal,Jhalokathi,694,8267,27.08.2020,,0,7,13,3,0,2,1,2,2,4,2,1,2,1,2,0,1,2,3,0,1,1,0,3,0,1,,,
59,59.0,Rajshahi,Joypurhat,1081,19841,26.09.2020,,21,1,2,0,19,1,0,28,0,4,0,0,13,16,1,1,0,0,15,0,1,0,6,5,0,12,,,
60,60.0,Rajshahi,Pabna,1118,19841,26.09.2020,,0,14,0,0,0,24,0,0,0,8,0,0,0,10,3,1,0,11,1,11,12,12,0,0,5,0,,,
61,61.0,Rajshahi,Chapainawabganj,771,19841,26.09.2020,,0,0,2,12,1,0,11,0,8,1,1,0,0,9,0,0,0,12,4,0,0,0,2,1,5,0,,,
62,62.0,Rajshahi,Bogura,7520,19841,26.09.2020,,68,24,38,47,37,30,36,42,38,30,36,34,31,35,35,28,30,17,28,32,13,31,50,31,3,27,,,
63,63.0,Rajshahi,Natore,978,19841,26.09.2020,,0,0,12,0,0,1,23,0,2,13,0,18,0,0,0,4,11,0,0,0,0,0,12,13,5,0,,,
64,64.0,Rajshahi,Naogaon,1311,19841,26.09.2020,,9,4,0,25,0,0,0,18,0,16,2,0,20,1,0,0,0,0,1,24,10,0,0,9,9,7,,,
65,65.0,Rajshahi,Sirajganj,2145,19841,26.09.2020,,5,10,18,19,14,2,5,5,0,0,6,11,5,10,19,11,14,7,8,9,5,4,6,13,5,5,,,
66,66.0,Rajshahi,Rajshahi,4917,19841,26.09.2020,,12,17,14,15,11,12,10,20,6,10,31,13,14,11,12,13,9,20,12,6,10,7,14,28,15,6,,,
67,67.0,,Total,265854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
