,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,In the last 24 hours,In the last 24 hours,In the last 24 hours,In the last 24 hours,Notes,Days since first confirmed cases
,Date,Total tested,Total cases,Total deaths,Total recovered,Newly tested,New cases,New deaths,Newly recovered,Notes,Days since first confirmed cases
514,2021-08-06,8043693,1335260,22150,1172437,48015,12606.0,248,15494.0,[144][145],516
515,2021-08-07,8075407,1343396,22411,1188820,31714,8136.0,261,16383.0,[146][147],517
516,2021-08-08,8117410,1353695,22652,1205447,42003,10299.0,241,16627.0,[148][149],518
517,2021-08-09,8164617,1365158,22897,1219859,47207,11463.0,245,14412.0,[150][151],519
518,2021-08-10,8212041,1376322,23161,1234762,47424,11164.0,264,14903.0,[152][153],520
519,2021-08-11,8256471,1386742,23313,1248075,44430,10420.0,237,13313.0,[154][155],521
520,2021-08-12,8301549,1396868,23613,1262065,45087,10126.0,215,13990.0,[156][157],522
521,2021-08-13,8342190,1405333,23810,1273522,40641,8465.0,197,11547.0,[158][159],523
522,2021-08-14,8375520,1412218,23988,1281327,33330,6885.0,178,7805.0,[160][161],524
523,2021-08-15,8408521,1418902,24175,1292698,33001,6684.0,187,11371.0,[162][163],525
524,2021-08-16,8441536,1425861,24349,1301966,33015,6959.0,174,9268.0,[164][165],526
525,2021-08-17,8480814,1433396,24547,1314916,39278,7535.0,198,12950.0,[166][167],527
526,2021-08-18,8521828,1440644,24719,1327028,41014,7248.0,172,12112.0,[168][169],528
527,2021-08-19,8559054,1447210,24878,1337181,37226,6566.0,159,10153.0,[170][171],529
528,2021-08-20,8593946,1453203,25023,1347755,34892,5993.0,145,10574.0,[172][173],530
529,2021-08-21,8617828,1457194,25143,1355421,23882,3991.0,120,7666.0,[174][175],531
530,2021-08-22,8650517,1461998,25282,1363874,31689,4804.0,139,8453.0,[176][177],532
531,2021-08-23,8687306,1467715,25399,1372856,36789,5717.0,117,8982.0,[178][179],533
532,2021-08-24,8721014,1472964,25513,1381783,34708,5249.0,114,8907.0,[180][181],534
533,2021-08-25,8754654,1477930,25627,1389571,33640,4966.0,114,7808.0,[182][183],535
534,2021-08-26,8787765,1482628,25729,1397885,33111,4698.0,102,8314.0,[184][185],536
535,2021-08-27,8815043,1486156,25846,1404370,27578,3525.0,117,6485.0,[186][187],537
536,2021-08-28,8840172,1489589,25926,1409231,25129,3436.0,80,4861.0,[188][189],538
