,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91
0,1.0,,District/City,Total Cases in District,Total,Updated Date,,07 July 2020,08 July 2020,09 July 2020,10 July 2020,11 July 2020,12 July 2020,13 July 2020,14 July 2020,15 July 2020,16 July 2020,17 July 2020,18 July 2020,19 July 2020,20 July 2020,21 July 2020,22 July 2020,23 July 2020,24 July 2020,25 July 2020,26 July 2020,27 July 2020,28 July 2020,29 July 2020,30 July 2020,31 July 2020,01 August 2020,02 August 2020,03 August 2020,04 August 2020,05 August 2020,06 August 2020,07 August 2020,08 August 2020,09 August 2020,10 August 2020,11 August 2020,12 August 2020,13 August 2020,14 August 2020,15 August 2020,16 August 2020,17 August 2020,18 August 2020,19 August 2020,20 August 2020,21 August 2020,22 August 2020,23 August 2020,24 August 2020,25 August 2020,26 August 2020,27 August 2020,28 August 2020,29 August 2020,30 August 2020,31 August 2020,01 September 2020,02 September 2020,03 September 2020,04 September 2020,05 September 2020,06 September 2020,07 September 2020,08 September 2020,09 September 2020,10 September 2020,11 September 2020,12 September 2020,13 September 2020,14 September 2020,15 September 2020,16 September 2020,17 September 2020,18 September 2020,19 September 2020,20 September 2020,21 September 2020,22 September 2020,23 September 2020,24 September 2020,25 September 2020,26 September 2020,27 September 2020,28 September 2020,30 September 2020
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0,Dhaka,Dhaka City,80876,123083,02.09.2020,,,,,,,,,,,,,,,,57281,683,451,460,325,676,454,608,757,970,750,541,274,374,586,535,531,661,462,520,505,925,629,469,630,414,325,509,635,361,575,515,643,552,509,523,722,575,360,644,512,463,466,516,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3.0,Dhaka,Dhaka (District),4635,123083,31.08. 2020,,3391,6,23,98,9,23,51,25,33,24,19,26,7,26,27,24,21,23,8,16,22,11,10,19,27,0,0,2,5,12,21,19,10,12,26,32,14,26,31,7,33,15,9,31,29,33,12,16,35,20,19,60,17,12,31,17,37,23,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.0,Dhaka,Gazipur,5023,123083,02.09.2020,,3713,69,13,34,19,16,26,2,39,29,13,21,26,32,26,12,24,10,7,17,5,26,18,14,8,20,8,2,8,22,25,23,11,14,27,23,23,36,30,17,3,9,22,26,26,37,29,10,34,37,24,33,29,26,11,82,37,40,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5.0,Dhaka,Kishoreganj,2548,123083,31.08.2020,,1677,10,21,19,12,10,19,9,14,9,13,23,16,14,13,18,11,12,13,14,18,7,23,23,10,0,21,14,18,9,15,18,16,11,25,24,9,11,17,20,54,15,16,21,11,26,27,6,12,26,8,6,11,17,14,,14,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.0,Dhaka,Madaripur,1302,123083,28.08.2020,,832,0,30,0,25,0,26,0,62,0,24,0,17,0,21,0,11,0,27,0,0,9,20,0,26,0,0,18,0,0,0,12,0,0,13,9,0,0,17,0,0,0,17,0,9,12,0,0,15,14,0,4,3,14,0,6,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7.0,Dhaka,Manikganj,1234,123083,28.08.2020,,631,0,0,73,12,0,0,15,14,19,0,20,25,0,20,11,4,0,0,0,18,0,5,1,0,0,0,0,25,0,4,9,0,0,0,28,0,0,0,55,0,0,35,0,56,0,0,0,0,20,0,0,50,0,0,68,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.0,Dhaka,Narayanganj,6449,123083,28.08.2020,,5385,39,33,45,37,23,30,26,42,15,23,21,22,16,15,7,16,5,11,5,14,24,17,18,18,17,0,7,8,22,21,12,25,14,8,20,20,14,27,5,19,14,21,14,19,35,25,14,4,14,16,20,16,14,9,11,42,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.0,Dhaka,Munshigonj,3219,123083,28.08.2020,,2275,8,50,15,30,5,47,27,20,20,21,29,5,15,12,11,3,25,17,3,25,28,8,30,0,0,0,18,14,8,20,13,13,17,0,29,19,8,16,33,33,0,6,23,21,0,16,24,3,23,29,0,29,21,25,1,26,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
